DIA	CIDADE	PCTG
16/fev	Aracaju	62
23/fev	Aracaju	48
01/mar	Aracaju	57
08/mar	Aracaju	45
15/mar	Aracaju	28
22/mar	Aracaju	-8
29/mar	Aracaju	-45
05/abr	Aracaju	-51
12/abr	Aracaju	-56
19/abr	Aracaju	-58
26/abr	Aracaju	-71
03/mai	Aracaju	-74
10/mai	Aracaju	-72
17/mai	Aracaju	-72
24/mai	Aracaju	-72
31/mai	Aracaju	-70
07/jun	Aracaju	-63
14/jun	Aracaju	-58
21/jun	Aracaju	-61
28/jun	Aracaju	-66
05/jul	Aracaju	-66
12/jul	Aracaju	-65
19/jul	Aracaju	-63
26/jul	Aracaju	-57
02/ago	Aracaju	-57
09/ago	Aracaju	-56
16/ago	Aracaju	-44
23/ago	Aracaju	-30
30/ago	Aracaju	-18
06/set	Aracaju	-16
13/set	Aracaju	-26
20/set	Aracaju	-23
27/set	Aracaju	-3
04/out	Aracaju	-5
11/out	Aracaju	-3
18/out	Aracaju	0
25/out	Aracaju	3
01/nov	Aracaju	2
16/fev	Belém	123
23/fev	Belém	89
01/mar	Belém	99
08/mar	Belém	78
15/mar	Belém	34
22/mar	Belém	20
29/mar	Belém	-31
05/abr	Belém	-37
12/abr	Belém	-51
19/abr	Belém	-49
26/abr	Belém	-64
03/mai	Belém	-63
10/mai	Belém	-64
17/mai	Belém	-66
24/mai	Belém	-63
31/mai	Belém	-50
07/jun	Belém	-42
14/jun	Belém	-45
21/jun	Belém	-30
28/jun	Belém	-35
05/jul	Belém	-35
12/jul	Belém	-31
19/jul	Belém	-40
26/jul	Belém	-38
02/ago	Belém	-35
09/ago	Belém	-33
16/ago	Belém	-29
23/ago	Belém	-10
30/ago	Belém	-11
06/set	Belém	-12
13/set	Belém	-14
20/set	Belém	-4
27/set	Belém	-4
04/out	Belém	-4
11/out	Belém	6
18/out	Belém	-18
25/out	Belém	-22
01/nov	Belém	-29
16/fev	Belo Horizonte	37
23/fev	Belo Horizonte	31
01/mar	Belo Horizonte	46
08/mar	Belo Horizonte	26
15/mar	Belo Horizonte	-2
22/mar	Belo Horizonte	-42
29/mar	Belo Horizonte	-72
05/abr	Belo Horizonte	-72
12/abr	Belo Horizonte	-77
19/abr	Belo Horizonte	-74
26/abr	Belo Horizonte	-75
03/mai	Belo Horizonte	-75
10/mai	Belo Horizonte	-73
17/mai	Belo Horizonte	-74
24/mai	Belo Horizonte	-73
31/mai	Belo Horizonte	-70
07/jun	Belo Horizonte	-65
14/jun	Belo Horizonte	-69
21/jun	Belo Horizonte	-67
28/jun	Belo Horizonte	-76
05/jul	Belo Horizonte	-71
12/jul	Belo Horizonte	-69
19/jul	Belo Horizonte	-70
26/jul	Belo Horizonte	-68
02/ago	Belo Horizonte	-62
09/ago	Belo Horizonte	-63
16/ago	Belo Horizonte	-61
23/ago	Belo Horizonte	-53
30/ago	Belo Horizonte	-37
06/set	Belo Horizonte	-39
13/set	Belo Horizonte	-42
20/set	Belo Horizonte	-40
27/set	Belo Horizonte	-34
04/out	Belo Horizonte	-29
11/out	Belo Horizonte	-28
18/out	Belo Horizonte	-31
25/out	Belo Horizonte	-29
01/nov	Belo Horizonte	-37
16/fev	Brasília	46
23/fev	Brasília	27
01/mar	Brasília	55
08/mar	Brasília	46
15/mar	Brasília	2
22/mar	Brasília	-45
29/mar	Brasília	-71
05/abr	Brasília	-69
12/abr	Brasília	-79
19/abr	Brasília	-76
26/abr	Brasília	-76
03/mai	Brasília	-75
10/mai	Brasília	-76
17/mai	Brasília	-80
24/mai	Brasília	-77
31/mai	Brasília	-74
07/jun	Brasília	-70
14/jun	Brasília	-71
21/jun	Brasília	-70
28/jun	Brasília	-76
05/jul	Brasília	-70
12/jul	Brasília	-68
19/jul	Brasília	-67
26/jul	Brasília	-66
02/ago	Brasília	-68
09/ago	Brasília	-67
16/ago	Brasília	-59
23/ago	Brasília	-47
30/ago	Brasília	-38
06/set	Brasília	-37
13/set	Brasília	-39
20/set	Brasília	-42
27/set	Brasília	-35
04/out	Brasília	-33
11/out	Brasília	-24
18/out	Brasília	-26
25/out	Brasília	-32
01/nov	Brasília	-39
16/fev	Curitiba	32
23/fev	Curitiba	23
01/mar	Curitiba	36
08/mar	Curitiba	40
15/mar	Curitiba	-4
22/mar	Curitiba	-54
29/mar	Curitiba	-69
05/abr	Curitiba	-71
12/abr	Curitiba	-61
19/abr	Curitiba	-63
26/abr	Curitiba	-70
03/mai	Curitiba	-69
10/mai	Curitiba	-66
17/mai	Curitiba	-68
24/mai	Curitiba	-67
31/mai	Curitiba	-66
07/jun	Curitiba	-64
14/jun	Curitiba	-69
21/jun	Curitiba	-66
28/jun	Curitiba	-74
05/jul	Curitiba	-75
12/jul	Curitiba	-71
19/jul	Curitiba	-72
26/jul	Curitiba	-71
02/ago	Curitiba	-67
09/ago	Curitiba	-66
16/ago	Curitiba	-62
23/ago	Curitiba	-53
30/ago	Curitiba	-45
06/set	Curitiba	-46
13/set	Curitiba	-42
20/set	Curitiba	-39
27/set	Curitiba	-31
04/out	Curitiba	-32
11/out	Curitiba	-32
18/out	Curitiba	-26
25/out	Curitiba	-32
01/nov	Curitiba	-32
16/fev	Florianópolis	37
23/fev	Florianópolis	35
01/mar	Florianópolis	43
08/mar	Florianópolis	28
15/mar	Florianópolis	1
22/mar	Florianópolis	-50
29/mar	Florianópolis	-66
05/abr	Florianópolis	-68
12/abr	Florianópolis	-69
19/abr	Florianópolis	-67
26/abr	Florianópolis	-69
03/mai	Florianópolis	-68
10/mai	Florianópolis	-66
17/mai	Florianópolis	-68
24/mai	Florianópolis	-64
31/mai	Florianópolis	-56
07/jun	Florianópolis	-48
14/jun	Florianópolis	-48
21/jun	Florianópolis	-57
28/jun	Florianópolis	-67
05/jul	Florianópolis	-67
12/jul	Florianópolis	-66
19/jul	Florianópolis	-67
26/jul	Florianópolis	-67
02/ago	Florianópolis	-67
09/ago	Florianópolis	-64
16/ago	Florianópolis	-62
23/ago	Florianópolis	-51
30/ago	Florianópolis	-42
06/set	Florianópolis	-35
13/set	Florianópolis	-34
20/set	Florianópolis	-26
27/set	Florianópolis	-29
04/out	Florianópolis	-27
11/out	Florianópolis	-21
18/out	Florianópolis	-22
25/out	Florianópolis	-22
01/nov	Florianópolis	-34
16/fev	Fortaleza	74
23/fev	Fortaleza	53
01/mar	Fortaleza	73
08/mar	Fortaleza	42
15/mar	Fortaleza	19
22/mar	Fortaleza	-29
29/mar	Fortaleza	-62
05/abr	Fortaleza	-61
12/abr	Fortaleza	-71
19/abr	Fortaleza	-70
26/abr	Fortaleza	-75
03/mai	Fortaleza	-75
10/mai	Fortaleza	-79
17/mai	Fortaleza	-79
24/mai	Fortaleza	-78
31/mai	Fortaleza	-76
07/jun	Fortaleza	-68
14/jun	Fortaleza	-69
21/jun	Fortaleza	-72
28/jun	Fortaleza	-71
05/jul	Fortaleza	-64
12/jul	Fortaleza	-65
19/jul	Fortaleza	-64
26/jul	Fortaleza	-63
02/ago	Fortaleza	-57
09/ago	Fortaleza	-53
16/ago	Fortaleza	-45
23/ago	Fortaleza	-35
30/ago	Fortaleza	-20
06/set	Fortaleza	-17
13/set	Fortaleza	-21
20/set	Fortaleza	-18
27/set	Fortaleza	-13
04/out	Fortaleza	-3
11/out	Fortaleza	7
18/out	Fortaleza	-2
25/out	Fortaleza	-5
01/nov	Fortaleza	-13
16/fev	Foz do Iguaçu	19
23/fev	Foz do Iguaçu	21
01/mar	Foz do Iguaçu	19
08/mar	Foz do Iguaçu	-10
15/mar	Foz do Iguaçu	-32
22/mar	Foz do Iguaçu	-70
29/mar	Foz do Iguaçu	-78
05/abr	Foz do Iguaçu	-82
12/abr	Foz do Iguaçu	-85
19/abr	Foz do Iguaçu	-83
26/abr	Foz do Iguaçu	-84
03/mai	Foz do Iguaçu	-86
10/mai	Foz do Iguaçu	-88
17/mai	Foz do Iguaçu	-89
24/mai	Foz do Iguaçu	-87
31/mai	Foz do Iguaçu	-85
07/jun	Foz do Iguaçu	-84
14/jun	Foz do Iguaçu	-79
21/jun	Foz do Iguaçu	-83
28/jun	Foz do Iguaçu	-87
05/jul	Foz do Iguaçu	-85
12/jul	Foz do Iguaçu	-84
19/jul	Foz do Iguaçu	-83
26/jul	Foz do Iguaçu	-82
02/ago	Foz do Iguaçu	-82
09/ago	Foz do Iguaçu	-81
16/ago	Foz do Iguaçu	-79
23/ago	Foz do Iguaçu	-72
30/ago	Foz do Iguaçu	-69
06/set	Foz do Iguaçu	-69
13/set	Foz do Iguaçu	-67
20/set	Foz do Iguaçu	-63
27/set	Foz do Iguaçu	-62
04/out	Foz do Iguaçu	-64
11/out	Foz do Iguaçu	-62
18/out	Foz do Iguaçu	-54
25/out	Foz do Iguaçu	-51
01/nov	Foz do Iguaçu	-52
16/fev	Goiânia	58
23/fev	Goiânia	47
01/mar	Goiânia	67
08/mar	Goiânia	44
15/mar	Goiânia	13
22/mar	Goiânia	-34
29/mar	Goiânia	-63
05/abr	Goiânia	-62
12/abr	Goiânia	-74
19/abr	Goiânia	-69
26/abr	Goiânia	-74
03/mai	Goiânia	-73
10/mai	Goiânia	-71
17/mai	Goiânia	-77
24/mai	Goiânia	-74
31/mai	Goiânia	-65
07/jun	Goiânia	-62
14/jun	Goiânia	-68
21/jun	Goiânia	-64
28/jun	Goiânia	-68
05/jul	Goiânia	-71
12/jul	Goiânia	-68
19/jul	Goiânia	-65
26/jul	Goiânia	-58
02/ago	Goiânia	-59
09/ago	Goiânia	-55
16/ago	Goiânia	-53
23/ago	Goiânia	-45
30/ago	Goiânia	-35
06/set	Goiânia	-32
13/set	Goiânia	-28
20/set	Goiânia	-28
27/set	Goiânia	-24
04/out	Goiânia	-14
11/out	Goiânia	-14
18/out	Goiânia	-19
25/out	Goiânia	-19
01/nov	Goiânia	-31
16/fev	João Pessoa	52
23/fev	João Pessoa	36
01/mar	João Pessoa	86
08/mar	João Pessoa	50
15/mar	João Pessoa	34
22/mar	João Pessoa	-19
29/mar	João Pessoa	-53
05/abr	João Pessoa	-60
12/abr	João Pessoa	-68
19/abr	João Pessoa	-69
26/abr	João Pessoa	-71
03/mai	João Pessoa	-69
10/mai	João Pessoa	-73
17/mai	João Pessoa	-70
24/mai	João Pessoa	-66
31/mai	João Pessoa	-65
07/jun	João Pessoa	-65
14/jun	João Pessoa	-61
21/jun	João Pessoa	-57
28/jun	João Pessoa	-64
05/jul	João Pessoa	-59
12/jul	João Pessoa	-60
19/jul	João Pessoa	-62
26/jul	João Pessoa	-61
02/ago	João Pessoa	-57
09/ago	João Pessoa	-55
16/ago	João Pessoa	-48
23/ago	João Pessoa	-38
30/ago	João Pessoa	-23
06/set	João Pessoa	-21
13/set	João Pessoa	-15
20/set	João Pessoa	-19
27/set	João Pessoa	-9
04/out	João Pessoa	4
11/out	João Pessoa	2
18/out	João Pessoa	2
25/out	João Pessoa	6
01/nov	João Pessoa	-4
16/fev	Maceió	68
23/fev	Maceió	63
01/mar	Maceió	84
08/mar	Maceió	40
15/mar	Maceió	17
22/mar	Maceió	-29
29/mar	Maceió	-60
05/abr	Maceió	-65
12/abr	Maceió	-65
19/abr	Maceió	-70
26/abr	Maceió	-63
03/mai	Maceió	-72
10/mai	Maceió	-68
17/mai	Maceió	-75
24/mai	Maceió	-77
31/mai	Maceió	-76
07/jun	Maceió	-66
14/jun	Maceió	-66
21/jun	Maceió	-68
28/jun	Maceió	-75
05/jul	Maceió	-71
12/jul	Maceió	-71
19/jul	Maceió	-67
26/jul	Maceió	-60
02/ago	Maceió	-62
09/ago	Maceió	-56
16/ago	Maceió	-45
23/ago	Maceió	-36
30/ago	Maceió	-23
06/set	Maceió	-20
13/set	Maceió	-16
20/set	Maceió	-18
27/set	Maceió	-17
04/out	Maceió	1
11/out	Maceió	7
18/out	Maceió	3
25/out	Maceió	5
01/nov	Maceió	13
18/out	Maceió	3
25/out	Maceió	5
01/nov	Maceió	13
16/fev	Manaus	35
23/fev	Manaus	39
01/mar	Manaus	46
08/mar	Manaus	28
15/mar	Manaus	10
22/mar	Manaus	-23
29/mar	Manaus	-57
05/abr	Manaus	-61
12/abr	Manaus	-70
19/abr	Manaus	-71
26/abr	Manaus	-74
03/mai	Manaus	-73
10/mai	Manaus	-77
17/mai	Manaus	-73
24/mai	Manaus	-70
31/mai	Manaus	-64
07/jun	Manaus	-58
14/jun	Manaus	-49
21/jun	Manaus	-44
28/jun	Manaus	-56
05/jul	Manaus	-60
12/jul	Manaus	-60
19/jul	Manaus	-57
26/jul	Manaus	-54
02/ago	Manaus	-52
09/ago	Manaus	-53
16/ago	Manaus	-46
23/ago	Manaus	-42
30/ago	Manaus	-41
06/set	Manaus	-33
13/set	Manaus	-42
20/set	Manaus	-29
27/set	Manaus	-31
04/out	Manaus	-26
11/out	Manaus	-21
18/out	Manaus	-17
25/out	Manaus	-15
01/nov	Manaus	-19
16/fev	Natal	71
23/fev	Natal	45
01/mar	Natal	66
08/mar	Natal	42
15/mar	Natal	14
22/mar	Natal	-38
29/mar	Natal	-62
05/abr	Natal	-60
12/abr	Natal	-70
19/abr	Natal	-66
26/abr	Natal	-72
03/mai	Natal	-73
10/mai	Natal	-73
17/mai	Natal	-75
24/mai	Natal	-76
31/mai	Natal	-71
07/jun	Natal	-69
14/jun	Natal	-74
21/jun	Natal	-72
28/jun	Natal	-76
05/jul	Natal	-77
12/jul	Natal	-75
19/jul	Natal	-71
26/jul	Natal	-63
02/ago	Natal	-60
09/ago	Natal	-57
16/ago	Natal	-51
23/ago	Natal	-41
30/ago	Natal	-28
06/set	Natal	-22
13/set	Natal	-12
20/set	Natal	-20
27/set	Natal	-8
04/out	Natal	1
11/out	Natal	16
18/out	Natal	6
25/out	Natal	9
01/nov	Natal	-1
16/fev	Navegantes	67
23/fev	Navegantes	61
01/mar	Navegantes	76
08/mar	Navegantes	54
15/mar	Navegantes	36
22/mar	Navegantes	-37
29/mar	Navegantes	-63
05/abr	Navegantes	-72
12/abr	Navegantes	-74
19/abr	Navegantes	-76
26/abr	Navegantes	-75
03/mai	Navegantes	-75
10/mai	Navegantes	-75
17/mai	Navegantes	-74
24/mai	Navegantes	-65
31/mai	Navegantes	-69
07/jun	Navegantes	-61
14/jun	Navegantes	-60
21/jun	Navegantes	-60
28/jun	Navegantes	-67
05/jul	Navegantes	-67
12/jul	Navegantes	-68
19/jul	Navegantes	-70
26/jul	Navegantes	-69
02/ago	Navegantes	-68
09/ago	Navegantes	-67
16/ago	Navegantes	-59
23/ago	Navegantes	-55
30/ago	Navegantes	-45
06/set	Navegantes	-47
13/set	Navegantes	-33
20/set	Navegantes	-28
27/set	Navegantes	-26
04/out	Navegantes	-22
11/out	Navegantes	-10
18/out	Navegantes	-9
25/out	Navegantes	-22
01/nov	Navegantes	-24
16/fev	Porto Alegre	35
23/fev	Porto Alegre	26
01/mar	Porto Alegre	57
08/mar	Porto Alegre	29
15/mar	Porto Alegre	-12
22/mar	Porto Alegre	-51
29/mar	Porto Alegre	-74
05/abr	Porto Alegre	-73
12/abr	Porto Alegre	-77
19/abr	Porto Alegre	-75
26/abr	Porto Alegre	-75
03/mai	Porto Alegre	-77
10/mai	Porto Alegre	-74
17/mai	Porto Alegre	-78
24/mai	Porto Alegre	-73
31/mai	Porto Alegre	-71
07/jun	Porto Alegre	-65
14/jun	Porto Alegre	-64
21/jun	Porto Alegre	-69
28/jun	Porto Alegre	-72
05/jul	Porto Alegre	-69
12/jul	Porto Alegre	-65
19/jul	Porto Alegre	-70
26/jul	Porto Alegre	-69
02/ago	Porto Alegre	-69
09/ago	Porto Alegre	-65
16/ago	Porto Alegre	-59
23/ago	Porto Alegre	-43
30/ago	Porto Alegre	-38
06/set	Porto Alegre	-35
13/set	Porto Alegre	-31
20/set	Porto Alegre	-28
27/set	Porto Alegre	-27
04/out	Porto Alegre	-26
11/out	Porto Alegre	-11
18/out	Porto Alegre	-21
25/out	Porto Alegre	-27
01/nov	Porto Alegre	-26
16/fev	Recife	58
23/fev	Recife	54
01/mar	Recife	71
08/mar	Recife	49
15/mar	Recife	33
22/mar	Recife	-28
29/mar	Recife	-56
05/abr	Recife	-65
12/abr	Recife	-69
19/abr	Recife	-69
26/abr	Recife	-77
03/mai	Recife	-75
10/mai	Recife	-78
17/mai	Recife	-78
24/mai	Recife	-79
31/mai	Recife	-74
07/jun	Recife	-70
14/jun	Recife	-68
21/jun	Recife	-63
28/jun	Recife	-66
05/jul	Recife	-67
12/jul	Recife	-66
19/jul	Recife	-61
26/jul	Recife	-58
02/ago	Recife	-53
09/ago	Recife	-49
16/ago	Recife	-39
23/ago	Recife	-28
30/ago	Recife	-21
06/set	Recife	-12
13/set	Recife	-15
20/set	Recife	-15
27/set	Recife	-16
04/out	Recife	-7
11/out	Recife	8
18/out	Recife	10
25/out	Recife	12
01/nov	Recife	6
16/fev	Rio de Janeiro	33
23/fev	Rio de Janeiro	23
01/mar	Rio de Janeiro	29
08/mar	Rio de Janeiro	16
15/mar	Rio de Janeiro	-8
22/mar	Rio de Janeiro	-59
29/mar	Rio de Janeiro	-75
05/abr	Rio de Janeiro	-76
12/abr	Rio de Janeiro	-81
19/abr	Rio de Janeiro	-80
26/abr	Rio de Janeiro	-83
03/mai	Rio de Janeiro	-84
10/mai	Rio de Janeiro	-84
17/mai	Rio de Janeiro	-85
24/mai	Rio de Janeiro	-84
31/mai	Rio de Janeiro	-81
07/jun	Rio de Janeiro	-77
14/jun	Rio de Janeiro	-78
21/jun	Rio de Janeiro	-75
28/jun	Rio de Janeiro	-78
05/jul	Rio de Janeiro	-77
12/jul	Rio de Janeiro	-74
19/jul	Rio de Janeiro	-72
26/jul	Rio de Janeiro	-70
02/ago	Rio de Janeiro	-69
09/ago	Rio de Janeiro	-69
16/ago	Rio de Janeiro	-64
23/ago	Rio de Janeiro	-52
30/ago	Rio de Janeiro	-45
06/set	Rio de Janeiro	-45
13/set	Rio de Janeiro	-44
20/set	Rio de Janeiro	-41
27/set	Rio de Janeiro	-35
04/out	Rio de Janeiro	-29
11/out	Rio de Janeiro	-21
18/out	Rio de Janeiro	-26
