DIA;CIDADE;PCTG
16/02/2020;Aracaju;62
23/02/2020;Aracaju;48
01/03/2020;Aracaju;57
08/03/2020;Aracaju;45
15/03/2020;Aracaju;28
22/03/2020;Aracaju;-8
29/03/2020;Aracaju;-45
05/04/2020;Aracaju;-51
12/04/2020;Aracaju;-56
19/04/2020;Aracaju;-58
26/04/2020;Aracaju;-71
03/05/2020;Aracaju;-74
10/05/2020;Aracaju;-72
17/05/2020;Aracaju;-72
24/05/2020;Aracaju;-72
31/05/2020;Aracaju;-70
07/06/2020;Aracaju;-63
14/06/2020;Aracaju;-58
21/06/2020;Aracaju;-61
28/06/2020;Aracaju;-66
05/07/2020;Aracaju;-66
12/07/2020;Aracaju;-65
19/07/2020;Aracaju;-63
26/07/2020;Aracaju;-57
02/08/2020;Aracaju;-57
09/08/2020;Aracaju;-56
16/08/2020;Aracaju;-44
23/08/2020;Aracaju;-30
30/08/2020;Aracaju;-18
06/09/2020;Aracaju;-16
13/09/2020;Aracaju;-26
20/09/2020;Aracaju;-23
27/09/2020;Aracaju;-3
04/10/2020;Aracaju;-5
11/10/2020;Aracaju;-3
16/02/2020;Belém;123
23/02/2020;Belém;89
01/03/2020;Belém;99
08/03/2020;Belém;78
15/03/2020;Belém;34
22/03/2020;Belém;20
29/03/2020;Belém;-31
05/04/2020;Belém;-37
12/04/2020;Belém;-51
19/04/2020;Belém;-49
26/04/2020;Belém;-64
03/05/2020;Belém;-63
10/05/2020;Belém;-64
17/05/2020;Belém;-66
24/05/2020;Belém;-63
31/05/2020;Belém;-50
07/06/2020;Belém;-42
14/06/2020;Belém;-45
21/06/2020;Belém;-30
28/06/2020;Belém;-35
05/07/2020;Belém;-35
12/07/2020;Belém;-31
19/07/2020;Belém;-40
26/07/2020;Belém;-38
02/08/2020;Belém;-35
09/08/2020;Belém;-33
16/08/2020;Belém;-29
23/08/2020;Belém;-10
30/08/2020;Belém;-11
06/09/2020;Belém;-12
13/09/2020;Belém;-14
20/09/2020;Belém;-4
27/09/2020;Belém;-4
04/10/2020;Belém;-4
11/10/2020;Belém;6
16/02/2020;Belo Horizonte;37
23/02/2020;Belo Horizonte;31
01/03/2020;Belo Horizonte;46
08/03/2020;Belo Horizonte;26
15/03/2020;Belo Horizonte;-2
22/03/2020;Belo Horizonte;-42
29/03/2020;Belo Horizonte;-72
05/04/2020;Belo Horizonte;-72
12/04/2020;Belo Horizonte;-77
19/04/2020;Belo Horizonte;-74
26/04/2020;Belo Horizonte;-75
03/05/2020;Belo Horizonte;-75
10/05/2020;Belo Horizonte;-73
17/05/2020;Belo Horizonte;-74
24/05/2020;Belo Horizonte;-73
31/05/2020;Belo Horizonte;-70
07/06/2020;Belo Horizonte;-65
14/06/2020;Belo Horizonte;-69
21/06/2020;Belo Horizonte;-67
28/06/2020;Belo Horizonte;-76
05/07/2020;Belo Horizonte;-71
12/07/2020;Belo Horizonte;-69
19/07/2020;Belo Horizonte;-70
26/07/2020;Belo Horizonte;-68
02/08/2020;Belo Horizonte;-62
09/08/2020;Belo Horizonte;-63
16/08/2020;Belo Horizonte;-61
23/08/2020;Belo Horizonte;-53
30/08/2020;Belo Horizonte;-37
06/09/2020;Belo Horizonte;-39
13/09/2020;Belo Horizonte;-42
20/09/2020;Belo Horizonte;-40
27/09/2020;Belo Horizonte;-34
04/10/2020;Belo Horizonte;-29
11/10/2020;Belo Horizonte;-28
16/02/2020;Brasília;46
23/02/2020;Brasília;27
01/03/2020;Brasília;55
08/03/2020;Brasília;46
15/03/2020;Brasília;2
22/03/2020;Brasília;-45
29/03/2020;Brasília;-71
05/04/2020;Brasília;-69
12/04/2020;Brasília;-79
19/04/2020;Brasília;-76
26/04/2020;Brasília;-76
03/05/2020;Brasília;-75
10/05/2020;Brasília;-76
17/05/2020;Brasília;-80
24/05/2020;Brasília;-77
31/05/2020;Brasília;-74
07/06/2020;Brasília;-70
14/06/2020;Brasília;-71
21/06/2020;Brasília;-70
28/06/2020;Brasília;-76
05/07/2020;Brasília;-70
12/07/2020;Brasília;-68
19/07/2020;Brasília;-67
26/07/2020;Brasília;-66
02/08/2020;Brasília;-68
09/08/2020;Brasília;-67
16/08/2020;Brasília;-59
23/08/2020;Brasília;-47
30/08/2020;Brasília;-38
06/09/2020;Brasília;-37
13/09/2020;Brasília;-39
20/09/2020;Brasília;-42
27/09/2020;Brasília;-35
04/10/2020;Brasília;-33
11/10/2020;Brasília;-24
16/02/2020;Curitiba;32
23/02/2020;Curitiba;23
01/03/2020;Curitiba;36
08/03/2020;Curitiba;40
15/03/2020;Curitiba;-4
22/03/2020;Curitiba;-54
29/03/2020;Curitiba;-69
05/04/2020;Curitiba;-71
12/04/2020;Curitiba;-61
19/04/2020;Curitiba;-63
26/04/2020;Curitiba;-70
03/05/2020;Curitiba;-69
10/05/2020;Curitiba;-66
17/05/2020;Curitiba;-68
24/05/2020;Curitiba;-67
31/05/2020;Curitiba;-66
07/06/2020;Curitiba;-64
14/06/2020;Curitiba;-69
21/06/2020;Curitiba;-66
28/06/2020;Curitiba;-74
05/07/2020;Curitiba;-75
12/07/2020;Curitiba;-71
19/07/2020;Curitiba;-72
26/07/2020;Curitiba;-71
02/08/2020;Curitiba;-67
09/08/2020;Curitiba;-66
16/08/2020;Curitiba;-62
23/08/2020;Curitiba;-53
30/08/2020;Curitiba;-45
06/09/2020;Curitiba;-46
13/09/2020;Curitiba;-42
20/09/2020;Curitiba;-39
27/09/2020;Curitiba;-31
04/10/2020;Curitiba;-32
11/10/2020;Curitiba;-32
16/02/2020;Florianópolis;37
23/02/2020;Florianópolis;35
01/03/2020;Florianópolis;43
08/03/2020;Florianópolis;28
15/03/2020;Florianópolis;1
22/03/2020;Florianópolis;-50
29/03/2020;Florianópolis;-66
05/04/2020;Florianópolis;-68
12/04/2020;Florianópolis;-69
19/04/2020;Florianópolis;-67
26/04/2020;Florianópolis;-69
03/05/2020;Florianópolis;-68
10/05/2020;Florianópolis;-66
17/05/2020;Florianópolis;-68
24/05/2020;Florianópolis;-64
31/05/2020;Florianópolis;-56
07/06/2020;Florianópolis;-48
14/06/2020;Florianópolis;-48
21/06/2020;Florianópolis;-57
28/06/2020;Florianópolis;-67
05/07/2020;Florianópolis;-67
12/07/2020;Florianópolis;-66
19/07/2020;Florianópolis;-67
26/07/2020;Florianópolis;-67
02/08/2020;Florianópolis;-67
09/08/2020;Florianópolis;-64
16/08/2020;Florianópolis;-62
23/08/2020;Florianópolis;-51
30/08/2020;Florianópolis;-42
06/09/2020;Florianópolis;-35
13/09/2020;Florianópolis;-34
20/09/2020;Florianópolis;-26
27/09/2020;Florianópolis;-29
04/10/2020;Florianópolis;-27
11/10/2020;Florianópolis;-21
16/02/2020;Fortaleza;74
23/02/2020;Fortaleza;53
01/03/2020;Fortaleza;73
08/03/2020;Fortaleza;42
15/03/2020;Fortaleza;19
22/03/2020;Fortaleza;-29
29/03/2020;Fortaleza;-62
05/04/2020;Fortaleza;-61
12/04/2020;Fortaleza;-71
19/04/2020;Fortaleza;-70
26/04/2020;Fortaleza;-75
03/05/2020;Fortaleza;-75
10/05/2020;Fortaleza;-79
17/05/2020;Fortaleza;-79
24/05/2020;Fortaleza;-78
31/05/2020;Fortaleza;-76
07/06/2020;Fortaleza;-68
14/06/2020;Fortaleza;-69
21/06/2020;Fortaleza;-72
28/06/2020;Fortaleza;-71
05/07/2020;Fortaleza;-64
12/07/2020;Fortaleza;-65
19/07/2020;Fortaleza;-64
26/07/2020;Fortaleza;-63
02/08/2020;Fortaleza;-57
09/08/2020;Fortaleza;-53
16/08/2020;Fortaleza;-45
23/08/2020;Fortaleza;-35
30/08/2020;Fortaleza;-20
06/09/2020;Fortaleza;-17
13/09/2020;Fortaleza;-21
20/09/2020;Fortaleza;-18
27/09/2020;Fortaleza;-13
04/10/2020;Fortaleza;-3
11/10/2020;Fortaleza;7
16/02/2020;Foz do Iguaçu;19
23/02/2020;Foz do Iguaçu;21
01/03/2020;Foz do Iguaçu;19
08/03/2020;Foz do Iguaçu;-10
15/03/2020;Foz do Iguaçu;-32
22/03/2020;Foz do Iguaçu;-70
29/03/2020;Foz do Iguaçu;-78
05/04/2020;Foz do Iguaçu;-82
12/04/2020;Foz do Iguaçu;-85
19/04/2020;Foz do Iguaçu;-83
26/04/2020;Foz do Iguaçu;-84
03/05/2020;Foz do Iguaçu;-86
10/05/2020;Foz do Iguaçu;-88
17/05/2020;Foz do Iguaçu;-89
24/05/2020;Foz do Iguaçu;-87
31/05/2020;Foz do Iguaçu;-85
07/06/2020;Foz do Iguaçu;-84
14/06/2020;Foz do Iguaçu;-79
21/06/2020;Foz do Iguaçu;-83
28/06/2020;Foz do Iguaçu;-87
05/07/2020;Foz do Iguaçu;-85
12/07/2020;Foz do Iguaçu;-84
19/07/2020;Foz do Iguaçu;-83
26/07/2020;Foz do Iguaçu;-82
02/08/2020;Foz do Iguaçu;-82
09/08/2020;Foz do Iguaçu;-81
16/08/2020;Foz do Iguaçu;-79
23/08/2020;Foz do Iguaçu;-72
30/08/2020;Foz do Iguaçu;-69
06/09/2020;Foz do Iguaçu;-69
13/09/2020;Foz do Iguaçu;-67
20/09/2020;Foz do Iguaçu;-63
